Gender,Age,Department,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,at_risk
Male,24,Business,81.94,53.63,80.73,85.36,19.6,98.37,8.7,Yes,No,Unknown,Low,7,7.9,0
Male,19,CS,76.61,54.66,59.26,98.49,73.4,73.55,7.3,No,No,Master's,Medium,7,7.0,1
Male,22,Engineering,88.42,93.55,95.44,93.04,2.7,61.13,15.6,No,Yes,Unknown,High,2,6.2,1
Male,24,Mathematics,87.9,71.85,70.55,76.72,29.2,75.86,26.1,No,No,Bachelor's,High,4,6.2,1
Female,20,CS,80.89,69.01,92.5,89.44,35.6,99.48,18.3,Yes,Yes,Bachelor's,Medium,9,4.4,0
Female,19,CS,89.35,81.37,62.46,97.19,45.8,64.65,16.3,Yes,No,Unknown,Medium,1,4.3,1
Female,20,Business,66.71,97.09,65.66,60.8,68.0,80.88,13.0,No,Yes,Master's,High,10,8.2,0
Female,20,CS,94.06,46.73,52.96,89.66,45.9,84.7,8.9,No,Yes,Bachelor's,Low,6,6.0,0
Male,20,Engineering,80.75,90.01,62.89,63.49,59.400000000000006,60.7,29.8,Yes,No,PhD,High,10,4.3,1
Male,24,Engineering,91.12,75.04,74.52,93.85,59.6,79.42,5.6,Yes,No,Master's,High,1,7.3,0
Female,19,Mathematics,77.31,48.77,97.31,54.92,37.3,65.73,12.8,Yes,No,Unknown,Low,6,7.4,1
Female,24,CS,60.92,57.83,69.45,58.91,93.4,92.71,24.2,Yes,No,Bachelor's,Medium,1,5.1,0
Female,24,CS,77.12,68.94,81.99,86.03,95.6,85.74,18.0,Yes,Yes,Master's,Low,3,6.1,0
Female,24,Business,68.56,81.47,71.39,58.74,58.2,91.31,12.8,No,Yes,PhD,Medium,4,6.9,0
Male,22,Engineering,84.87,54.56,52.34,57.9,7.199999999999999,59.98,29.8,Yes,No,Unknown,Medium,10,7.0,1
Female,23,Mathematics,73.79,72.09,75.18,77.77,49.1,51.73,20.5,No,Yes,High School,High,5,6.6,1
Male,18,Engineering,91.81,81.08,53.3,91.75,18.4,92.53,12.4,Yes,No,Bachelor's,Low,7,5.8,0
Male,22,CS,83.9,66.92,94.18,63.42,48.3,69.34,26.2,No,Yes,PhD,Medium,2,4.3,0
Male,19,CS,84.23,91.78,87.65,92.06,18.8,58.99,8.8,No,No,Master's,Low,6,4.1,0
Male,18,Mathematics,60.86,92.17,68.93,90.4,70.4,54.59,16.6,No,No,Bachelor's,Medium,4,6.3,1
Female,18,CS,99.21,68.24,82.01,78.96,8.0,75.83,26.0,Yes,Yes,Bachelor's,Low,6,5.0,1
Female,18,Mathematics,92.08,98.38,55.6,82.33,95.3,57.51,29.6,No,Yes,Unknown,Low,7,8.7,0
Female,23,Mathematics,89.45,44.54,85.13,52.02,19.5,78.33,14.6,No,Yes,PhD,Medium,7,7.2,0
Female,24,Engineering,66.51,40.2,91.14,68.36,66.10000000000001,86.37,8.5,No,Yes,Bachelor's,Low,5,6.9,0
Male,21,Mathematics,76.78,62.84,91.09,63.17,91.7,76.75,19.2,Yes,No,Bachelor's,Medium,7,6.0,0
Male,19,CS,56.86,76.07,64.21,57.5,24.8,95.18,28.6,Yes,No,PhD,Medium,3,5.6,0
Male,23,Business,76.92,77.75,63.19,69.48,93.4,57.78,21.6,Yes,Yes,Master's,Low,10,4.9,1
Female,23,Business,57.29,68.59,76.07,67.75,38.9,74.7,20.1,No,Yes,Unknown,High,5,4.3,0
Male,21,CS,77.65,47.49,98.39,86.44,96.1,58.16,12.7,No,Yes,Bachelor's,Low,5,7.2,0
Male,18,Business,82.44,50.23,96.03,79.9,97.1,93.8,20.2,No,No,PhD,Medium,2,7.9,0
Male,24,Business,69.51,91.13,67.98,95.66,18.8,96.61,27.1,No,No,High School,Medium,4,8.3,0
Male,21,Mathematics,74.93,92.07,88.99,57.27,83.10000000000001,70.0,14.4,Yes,Yes,Master's,Medium,2,7.6,1
Female,21,Business,93.78,80.43,96.07,52.99,19.3,65.29,11.1,No,No,Unknown,Low,9,8.5,1
Male,23,Business,55.43,79.85,63.05,76.73,22.6,63.97,17.0,No,Yes,High School,High,9,8.9,1
Male,19,Business,89.59,75.86,91.51,50.05,8.4,92.99,14.4,No,No,Master's,High,1,8.8,0
Female,20,Engineering,58.54,52.18,63.39,89.39,15.7,84.12,16.7,No,No,Bachelor's,Medium,2,7.0,1
Female,24,CS,51.84,65.7,67.16,75.3,63.2,94.03,7.4,Yes,Yes,Unknown,Medium,8,5.1,0
Female,21,Mathematics,59.28,81.75,59.94,74.4,44.900000000000006,55.88,13.4,Yes,Yes,Master's,High,3,4.5,1
Male,24,Business,88.25,72.24,75.35,68.12,79.1,73.8,25.7,Yes,No,Master's,Medium,3,9.0,0
Male,21,CS,70.26,41.11,92.17,68.75,33.2,83.81,15.0,Yes,Yes,Master's,Medium,10,5.5,0
Male,18,Business,93.63,97.21,76.4,71.56,96.9,94.85,29.2,No,No,Master's,Medium,6,4.2,0
Male,24,Engineering,76.24,90.69,56.17,50.8,5.0,69.1,22.7,Yes,No,High School,Medium,5,6.0,1
Female,18,Engineering,51.11,55.63,62.59,54.18,6.3,65.65,14.2,Yes,Yes,Unknown,High,4,7.7,1
Male,23,Business,85.84,76.99,78.14,75.25,70.1,95.65,11.3,Yes,Yes,Bachelor's,High,7,8.5,0
Male,18,Business,55.51,95.39,79.16,57.51,88.80000000000001,52.38,22.1,Yes,No,Unknown,High,1,6.4,1
Female,24,Business,89.47,45.76,78.85,88.94,79.6,73.98,12.6,No,Yes,High School,Low,1,5.5,1
Female,22,Engineering,58.41,70.18,53.85,63.72,49.0,72.93,28.2,No,No,Unknown,High,1,7.9,1
Female,24,Engineering,67.27,67.37,87.68,54.89,27.0,57.3,7.9,No,Yes,High School,Medium,8,6.5,1
Male,21,CS,88.06,64.61,95.47,61.76,1.3,69.75,5.7,No,No,High School,Low,9,4.4,0
Male,18,Mathematics,97.71,90.14,75.53,67.85,50.9,86.13,10.5,Yes,Yes,High School,Medium,3,8.4,0
Male,19,Mathematics,68.57,62.84,85.94,51.77,47.6,68.34,20.2,Yes,No,High School,Medium,1,7.3,0
Male,22,Engineering,91.47,43.82,95.7,57.08,34.4,65.48,25.9,No,Yes,Master's,Low,9,4.2,1
Male,23,Mathematics,59.54,43.95,82.13,66.19,57.8,89.09,9.3,Yes,No,Unknown,Medium,3,4.0,0
Female,20,Business,90.36,42.56,83.72,65.52,72.9,99.44,19.6,No,Yes,PhD,Medium,9,4.4,0
Female,21,CS,82.87,64.55,86.07,90.02,70.1,88.97,8.6,Yes,No,High School,Low,4,8.1,0
Male,21,Engineering,59.64,83.1,63.03,92.16,26.3,92.32,19.1,No,Yes,High School,High,1,6.4,0
Male,19,Engineering,65.13,52.22,79.13,59.67,58.5,96.98,5.5,No,No,Unknown,Medium,5,5.7,1
Male,20,Mathematics,56.59,78.79,92.11,56.2,14.9,90.09,18.9,No,Yes,Master's,High,7,5.2,0
Male,20,Business,69.15,81.23,64.81,81.71,12.2,99.02,18.0,Yes,Yes,Bachelor's,Medium,6,6.5,0
Male,23,CS,60.18,55.31,94.86,90.23,78.60000000000001,87.36,6.1,No,No,High School,Medium,4,4.4,0
Female,23,Mathematics,82.2,76.03,81.02,98.19,69.4,83.08,22.2,No,Yes,Master's,Medium,10,7.1,0
Female,22,Engineering,99.73,81.09,71.16,50.34,76.8,84.67,19.3,No,Yes,Master's,Low,8,5.9,0
Female,21,Engineering,50.6,68.0,81.16,70.68,15.2,95.0,20.6,No,No,PhD,High,10,8.3,0
Male,18,Mathematics,77.05,60.2,70.09,86.7,91.5,84.15,18.2,Yes,No,High School,Medium,10,7.8,0
Male,23,Business,78.68,77.15,91.9,91.43,13.3,88.06,23.0,Yes,Yes,Master's,High,1,4.1,0
Female,19,CS,95.71,98.67,74.12,53.11,87.0,60.8,18.1,Yes,Yes,PhD,Medium,4,4.8,0
Female,19,CS,75.3,65.61,95.06,84.03,35.2,95.63,28.1,No,Yes,Master's,Low,7,6.4,0
Male,19,CS,77.19,63.5,75.49,64.45,10.5,72.36,28.6,No,Yes,PhD,High,6,7.3,0
Female,24,CS,73.58,67.86,83.02,53.73,28.700000000000003,58.05,23.2,No,No,PhD,Low,1,7.6,1
Female,23,Business,63.45,44.57,99.89,74.46,18.1,89.99,27.8,No,Yes,PhD,High,5,8.1,0
Male,23,Engineering,52.8,73.19,57.35,57.91,49.1,67.82,28.1,No,No,Master's,High,6,4.2,0
Female,19,Engineering,70.43,59.72,86.84,86.85,95.0,59.21,11.5,Yes,Yes,Bachelor's,High,10,4.1,1
Female,23,CS,52.63,47.29,56.94,87.06,32.8,62.81,29.8,Yes,Yes,Unknown,Medium,9,7.0,1
Female,24,CS,77.52,67.98,91.94,92.1,61.2,51.75,11.7,No,Yes,PhD,Low,5,7.6,0
Male,18,CS,65.36,40.2,79.82,68.88,89.2,54.53,5.5,No,No,High School,Medium,5,7.9,1
Female,18,Mathematics,76.68,64.11,96.91,50.67,63.0,79.63,29.1,No,Yes,Unknown,Medium,8,4.8,0
Female,22,Mathematics,56.71,46.34,93.3,62.99,36.2,93.31,10.6,No,Yes,Bachelor's,Low,6,8.8,1
Female,21,Engineering,96.63,41.46,53.74,73.39,99.1,72.43,19.6,No,Yes,Unknown,High,10,5.1,1
Male,18,Engineering,94.73,89.47,56.87,84.7,18.700000000000003,81.3,29.3,No,Yes,Unknown,Low,8,5.3,0
Male,22,CS,59.5,94.97,80.06,69.1,52.3,90.49,6.2,Yes,Yes,Bachelor's,Medium,6,4.8,0
Female,20,Mathematics,67.17,52.46,75.92,76.8,79.7,67.84,11.7,No,No,High School,Medium,9,4.2,1
Male,21,Business,80.67,72.36,58.43,76.21,0.1,82.72,20.2,Yes,Yes,PhD,High,8,8.0,1
Female,18,Mathematics,54.78,56.68,56.47,58.25,70.19999999999999,67.52,24.1,Yes,Yes,Master's,Medium,8,4.0,1
Male,24,Engineering,67.73,69.61,78.2,81.15,26.6,82.14,25.2,No,No,High School,Medium,1,6.3,0
Male,20,Mathematics,62.56,66.2,52.45,71.96,17.0,60.88,27.1,Yes,No,High School,Medium,4,4.5,1
Female,22,Engineering,95.78,56.14,93.69,90.4,27.4,98.89,9.2,No,No,PhD,Medium,2,4.2,0
Female,18,CS,92.63,82.02,90.35,84.53,96.7,53.81,14.3,No,No,High School,Medium,7,8.7,1
Female,18,Business,78.99,47.59,89.27,55.57,89.2,75.26,22.9,No,Yes,High School,Medium,10,8.1,0
Male,23,CS,76.02,43.18,50.8,74.44,21.4,64.31,22.9,No,No,Unknown,Low,6,6.0,1
Female,20,CS,96.54,86.06,52.38,85.12,11.7,80.04,12.7,Yes,No,Unknown,Medium,7,6.3,0
Male,18,Business,96.62,79.96,77.49,54.35,36.4,71.42,12.6,No,No,Bachelor's,High,5,8.3,1
Male,19,Business,98.47,69.91,99.72,89.62,59.2,65.33,13.0,Yes,Yes,Bachelor's,High,3,8.0,0
Female,24,Business,56.27,68.07,67.12,61.1,86.7,62.5,27.3,Yes,Yes,Bachelor's,Low,4,7.5,1
Male,23,Engineering,58.03,69.84,67.22,75.15,96.6,59.12,27.7,No,No,Master's,Medium,10,6.7,1
Female,23,CS,83.84,66.22,56.71,97.03,75.1,89.14,5.4,No,Yes,PhD,Low,1,7.0,0
Male,18,Engineering,77.07,63.57,83.72,78.57,59.900000000000006,61.11,13.1,No,Yes,Master's,Low,5,6.0,0
Female,24,Business,50.92,69.98,82.33,71.2,14.2,88.68,14.8,Yes,Yes,Master's,High,6,6.6,1
Male,23,Engineering,53.1,71.71,55.07,50.34,7.4,74.25,29.6,No,No,Bachelor's,High,7,6.7,1
Male,21,Business,94.4,81.51,73.37,56.67,59.6,53.61,28.6,No,Yes,PhD,Low,8,8.3,1
Female,20,Mathematics,93.44,82.67,83.35,78.93,53.9,58.27,20.7,No,Yes,Master's,Medium,5,5.1,0
Male,21,Business,67.86,62.66,74.68,74.69,84.60000000000001,94.65,6.1,Yes,Yes,Unknown,High,1,5.2,0
Female,22,CS,94.55,64.81,83.72,68.19,32.3,80.14,9.8,Yes,No,Master's,Medium,5,5.1,1
Male,21,CS,79.68,62.42,90.81,96.16,4.0,59.22,15.9,No,Yes,Unknown,Medium,1,6.9,1
Male,24,CS,90.3,72.19,84.29,66.62,42.400000000000006,85.19,29.0,No,No,Master's,Low,8,7.5,1
Male,19,Engineering,71.37,67.2,80.81,76.86,96.9,91.16,7.4,No,Yes,PhD,Low,2,5.2,0
Female,23,CS,55.67,93.38,92.68,78.44,79.6,66.53,24.8,No,No,Unknown,Medium,2,7.4,0
Female,24,Business,71.69,81.78,95.03,76.37,3.4000000000000004,77.83,9.8,Yes,Yes,Unknown,High,6,7.1,0
Female,23,Mathematics,72.86,93.92,69.44,73.88,87.5,64.67,17.7,Yes,Yes,Bachelor's,High,9,5.6,1
Female,19,CS,77.55,82.55,58.66,66.85,47.2,54.0,24.2,No,No,Unknown,High,5,5.1,1
Female,23,Engineering,55.28,98.26,90.89,95.44,36.5,69.98,22.3,Yes,No,Master's,High,6,8.4,0
Male,21,Mathematics,99.57,78.14,60.69,72.54,34.7,87.57,24.4,Yes,Yes,Master's,Medium,3,6.8,0
Male,22,CS,62.21,97.81,96.45,76.42,59.5,72.93,25.3,No,Yes,Bachelor's,High,9,7.5,0
Female,18,CS,59.93,49.49,51.14,82.82,53.1,70.26,12.6,Yes,Yes,High School,High,4,8.6,1
Male,19,Mathematics,76.34,43.15,96.06,53.38,65.7,68.3,14.1,No,Yes,Unknown,Low,6,5.0,1
Male,21,CS,76.86,74.75,79.46,89.06,57.400000000000006,72.95,25.4,Yes,No,Unknown,High,4,5.8,1
Male,24,Engineering,71.99,99.01,88.74,75.63,14.4,65.91,6.0,No,Yes,Unknown,Low,6,6.2,0
Male,21,Business,88.59,65.06,69.92,82.86,25.7,80.61,17.9,Yes,Yes,Master's,High,1,5.2,0
Female,21,Business,75.83,52.72,99.59,88.6,84.1,53.18,28.0,No,No,PhD,Low,1,8.2,1
Male,18,Mathematics,80.48,71.29,61.38,93.7,66.3,90.37,27.1,Yes,No,PhD,Medium,1,4.4,0
Female,20,Business,86.19,78.93,63.22,69.61,44.8,58.66,25.1,Yes,Yes,PhD,High,10,5.2,1
Female,23,CS,51.25,58.91,52.57,90.57,18.3,81.67,5.5,Yes,No,Bachelor's,Low,2,5.0,0
Male,23,CS,78.53,82.89,97.02,62.94,0.8,72.49,27.2,No,No,Bachelor's,High,7,8.8,1
Female,24,Engineering,94.21,98.51,72.8,83.02,31.200000000000003,88.67,27.8,Yes,Yes,Master's,Medium,3,7.1,0
Male,22,Business,50.87,93.82,83.74,55.14,5.5,91.31,21.6,Yes,No,PhD,Medium,1,7.6,0
Male,24,Mathematics,70.26,57.5,84.37,51.0,48.2,60.21,12.5,Yes,No,High School,Medium,8,4.5,1
Male,20,CS,96.31,59.6,93.73,54.79,82.2,83.86,17.2,Yes,No,Unknown,Medium,8,5.0,0
Female,23,Mathematics,67.66,62.29,83.25,65.97,28.5,59.5,24.1,Yes,No,PhD,High,4,8.0,0
Female,22,CS,72.94,63.67,78.1,51.55,84.80000000000001,56.2,25.3,Yes,Yes,High School,Medium,7,6.8,1
Female,24,CS,99.08,46.02,85.52,81.52,70.5,96.51,13.6,Yes,No,Unknown,High,2,4.2,0
Male,22,Engineering,59.97,85.72,87.55,65.83,12.5,58.22,13.2,No,No,Unknown,Medium,6,6.8,1
Male,21,Business,53.26,61.92,59.3,86.82,64.5,61.41,23.4,Yes,No,Bachelor's,High,9,6.4,0
Male,19,Engineering,92.97,92.79,55.48,52.3,15.2,56.52,22.2,Yes,No,High School,Medium,7,4.8,1
Female,21,Business,93.42,95.62,53.74,60.84,65.5,73.51,17.8,No,Yes,PhD,Medium,6,7.0,1
Male,18,Mathematics,73.6,41.47,68.7,70.4,14.3,95.98,15.5,No,Yes,PhD,Low,10,4.9,0
Male,23,Business,75.71,99.31,74.9,69.13,39.3,63.2,21.4,No,No,Master's,Medium,2,8.1,1
Female,22,Mathematics,91.79,82.6,80.78,56.55,56.7,77.09,5.8,No,No,High School,High,4,7.1,1
Female,24,CS,86.93,71.22,97.9,99.71,5.0,70.57,6.9,No,Yes,Unknown,Low,6,8.4,0
Female,19,Mathematics,63.26,63.37,66.54,64.22,15.3,66.8,19.3,No,No,Bachelor's,Medium,5,6.1,1
Male,24,Mathematics,50.84,71.11,88.04,86.05,32.0,78.61,10.3,No,Yes,Master's,Medium,5,6.6,0
Male,23,CS,73.99,59.48,76.57,61.0,46.2,77.94,24.4,No,Yes,Bachelor's,Low,4,7.8,0
Male,22,Mathematics,92.95,77.36,61.0,93.89,85.8,67.97,24.3,Yes,No,Unknown,High,8,6.7,0
Female,22,Mathematics,94.79,45.58,80.77,69.39,18.700000000000003,92.53,22.7,No,No,Unknown,Low,8,6.9,0
Female,21,CS,97.81,77.27,98.36,95.05,34.7,52.66,27.6,Yes,No,Bachelor's,Low,5,6.8,0
Female,19,CS,93.98,56.52,56.22,67.09,47.6,54.26,8.5,No,Yes,Master's,Medium,7,6.5,1
Female,19,CS,79.0,41.06,75.36,50.43,29.6,99.54,11.5,Yes,Yes,Unknown,High,2,8.0,1
Male,23,Business,72.23,73.16,52.58,75.85,62.6,87.38,11.3,Yes,No,PhD,High,3,6.4,1
Male,22,CS,88.74,74.71,66.06,76.24,25.7,90.2,24.6,No,No,PhD,Low,10,8.5,0
Male,19,CS,86.99,65.59,81.03,55.99,77.2,80.14,18.0,No,Yes,PhD,Low,9,8.0,0
Male,19,Mathematics,76.91,44.34,92.05,61.75,50.5,70.99,11.3,No,No,Master's,Medium,7,7.5,0
Male,24,Engineering,54.37,93.6,86.52,89.17,8.6,81.46,8.4,No,Yes,Master's,Medium,6,8.5,0
Male,23,Engineering,96.3,76.69,73.14,51.84,62.7,54.63,27.3,No,No,High School,Low,7,6.7,1
Male,21,Business,72.78,46.94,95.46,74.48,56.900000000000006,87.89,22.3,No,Yes,High School,Low,6,8.1,0
Male,24,Business,68.17,70.66,65.14,76.52,33.9,77.04,18.2,Yes,Yes,PhD,High,2,5.2,1
Female,24,Engineering,81.48,69.84,87.7,84.44,1.1,97.84,29.1,Yes,No,Bachelor's,Low,3,4.4,0
Female,20,Engineering,83.69,43.62,73.7,51.87,20.1,81.87,26.2,Yes,No,Bachelor's,Medium,5,7.4,1
Male,18,CS,60.53,76.41,94.93,79.28,40.6,57.58,9.5,Yes,No,PhD,Low,2,5.5,0
Female,20,Mathematics,91.85,88.5,89.87,50.15,20.0,73.88,17.7,No,Yes,High School,High,3,7.2,0
Male,19,CS,64.5,84.94,95.07,63.26,57.7,52.89,17.2,No,No,Master's,High,7,4.4,0
Male,22,Business,59.33,52.18,60.71,74.98,71.2,87.27,26.1,No,Yes,Bachelor's,High,2,8.8,0
Female,18,Engineering,70.32,91.74,83.41,95.56,85.60000000000001,75.09,8.7,Yes,Yes,Master's,High,6,6.6,0
Male,18,Business,86.53,60.55,86.92,56.33,64.7,68.48,16.3,No,Yes,PhD,High,10,4.0,0
Male,22,CS,98.27,96.79,87.12,58.46,68.89999999999999,98.43,20.9,No,Yes,Master's,Medium,5,6.4,0
Male,18,Business,90.46,44.3,75.2,83.46,60.8,97.03,28.6,Yes,No,Bachelor's,High,3,7.9,0
Male,22,Business,97.02,69.17,50.56,68.74,98.5,97.64,27.5,No,Yes,High School,Medium,8,8.3,0
Male,18,Mathematics,57.03,75.83,63.07,81.17,26.1,61.05,18.3,No,No,Bachelor's,Medium,6,6.3,0
Male,24,Business,53.56,54.86,66.17,99.87,26.6,86.43,20.2,No,No,Unknown,High,9,4.6,0
Male,23,CS,77.89,86.28,92.6,99.34,12.6,97.27,26.3,Yes,Yes,Master's,High,1,8.5,0
Female,23,Mathematics,64.51,77.61,92.04,67.69,48.6,78.54,23.6,Yes,Yes,Master's,Medium,3,8.9,0
Female,20,Business,91.4,41.09,55.23,75.2,9.6,60.71,27.0,No,Yes,Master's,Medium,10,4.3,1
Male,24,CS,83.6,76.5,97.49,95.23,27.0,90.89,27.4,Yes,Yes,PhD,High,8,4.4,0
Female,18,Engineering,98.54,69.49,59.12,54.61,48.3,94.0,25.8,No,No,PhD,Medium,1,6.8,0
Male,21,Mathematics,62.74,51.76,70.72,72.62,95.8,85.16,5.2,Yes,Yes,Bachelor's,Low,8,6.7,1
Male,22,Business,74.29,99.74,60.76,68.88,96.4,64.68,12.8,Yes,Yes,High School,Low,10,6.9,0
Male,24,Business,75.06,93.83,93.02,64.74,74.4,59.53,15.1,Yes,Yes,Unknown,Medium,5,5.6,0
Male,18,Mathematics,61.96,57.55,87.47,99.71,38.9,81.21,21.9,No,Yes,High School,Medium,8,4.3,0
Female,23,CS,79.5,72.46,67.68,86.68,86.5,74.14,12.7,Yes,Yes,High School,Medium,10,6.9,0
Female,23,Business,72.16,58.99,84.09,69.44,87.5,83.44,13.1,Yes,No,Unknown,Low,7,4.8,0
Female,22,CS,72.34,86.53,59.22,91.45,91.0,55.58,15.0,Yes,Yes,PhD,Medium,9,5.7,0
Female,21,Mathematics,68.14,95.82,69.11,74.48,64.0,56.8,28.9,Yes,Yes,Master's,High,7,6.9,1
Male,18,Business,50.85,61.53,68.86,93.64,20.2,68.14,15.9,Yes,No,PhD,Low,4,5.0,1
Female,18,Engineering,76.1,88.34,61.9,63.32,9.1,62.94,8.5,No,No,Master's,Medium,1,6.7,1
Male,21,Engineering,66.76,69.9,93.82,61.18,91.5,80.97,5.2,No,Yes,Master's,Low,2,7.6,0
Male,21,Engineering,50.07,63.79,83.94,62.36,5.6000000000000005,68.38,10.9,Yes,No,PhD,Low,2,4.3,1
Female,21,Mathematics,65.4,96.31,64.0,76.92,29.6,84.2,28.5,No,No,High School,Low,1,7.1,0
Male,23,Business,63.93,70.62,62.11,64.57,48.7,88.44,28.9,Yes,No,Master's,High,10,6.5,1
Female,22,Mathematics,69.67,68.04,50.9,57.36,2.2,59.36,18.2,No,Yes,PhD,High,7,4.5,1
Female,24,Business,56.59,80.35,67.33,99.73,90.7,95.99,21.2,Yes,Yes,High School,High,4,7.5,0
Female,21,Engineering,75.38,55.67,76.34,95.02,28.700000000000003,89.36,24.9,Yes,No,Unknown,Low,10,5.6,0
Female,22,Engineering,84.62,59.49,63.89,81.75,2.9,81.34,6.4,Yes,Yes,Master's,Medium,7,4.9,1
Female,20,CS,81.51,95.92,85.02,94.58,99.4,95.45,14.4,Yes,Yes,High School,Low,8,5.4,0
Male,18,Mathematics,90.19,80.71,70.59,96.77,31.1,63.29,21.1,Yes,No,Master's,Medium,6,6.7,0
Female,18,Mathematics,72.6,89.6,65.82,83.81,87.69999999999999,71.09,27.5,Yes,Yes,High School,Medium,8,6.9,1
Female,19,CS,75.95,56.27,96.95,75.93,45.3,54.29,23.2,Yes,Yes,Unknown,High,2,4.8,1
Male,20,Engineering,90.52,72.63,63.14,94.1,66.3,72.81,13.8,No,Yes,Master's,Medium,1,8.7,0
Female,24,Engineering,71.39,98.28,69.91,78.39,24.1,75.32,27.7,No,Yes,PhD,Medium,9,5.6,0
Female,21,Mathematics,85.08,59.12,69.11,56.34,50.3,80.8,21.6,No,Yes,High School,High,9,5.3,0
Male,21,Business,71.73,49.63,62.06,68.34,25.8,53.2,25.8,Yes,Yes,Unknown,Medium,9,4.9,1
Male,24,Engineering,70.89,70.65,60.87,72.3,95.1,51.62,14.6,Yes,Yes,Master's,High,4,4.6,1
Female,23,CS,88.01,63.27,65.12,96.77,6.1,70.99,5.1,No,Yes,Unknown,Low,9,8.9,0
Male,20,CS,58.74,49.57,93.21,82.96,27.5,59.46,9.2,No,No,Unknown,Medium,9,7.4,1
Female,21,CS,66.93,93.31,88.35,93.76,89.3,87.94,28.2,No,Yes,Master's,High,5,7.9,0
Male,19,Mathematics,61.21,99.44,84.05,87.88,48.0,83.44,5.8,Yes,No,Master's,Low,1,6.0,0
Female,22,Mathematics,67.96,74.11,72.86,65.49,60.0,66.29,19.9,No,No,High School,Low,8,6.1,1
Female,18,Mathematics,61.52,86.48,75.39,85.94,65.19999999999999,52.29,15.2,Yes,Yes,PhD,High,1,8.9,0
Female,20,Mathematics,78.97,91.54,63.36,59.76,7.1,59.12,15.7,No,Yes,Unknown,Medium,3,5.0,1
Male,18,CS,89.91,82.06,53.72,70.41,1.7999999999999998,84.58,15.0,No,No,Master's,Medium,3,5.6,1
Female,22,CS,89.33,42.65,66.55,90.3,93.8,99.51,6.7,No,No,Unknown,Medium,5,5.0,0
Male,20,Mathematics,68.23,49.46,74.78,80.6,27.200000000000003,66.32,8.1,No,No,High School,Medium,5,5.4,0
Female,22,Mathematics,99.44,44.26,52.87,91.27,38.0,90.1,6.6,Yes,Yes,High School,High,5,7.3,1
Female,21,CS,79.69,40.59,54.41,62.74,68.2,93.35,6.3,No,No,High School,Low,4,5.5,1
Female,24,Mathematics,69.97,58.36,63.15,87.49,23.6,52.41,7.1,Yes,No,PhD,Medium,1,8.4,1
Female,21,Mathematics,91.78,63.54,68.35,60.12,73.3,95.81,22.4,Yes,Yes,Bachelor's,High,4,4.2,0
Female,24,Mathematics,86.49,54.46,69.67,77.27,45.8,73.31,7.9,Yes,Yes,Bachelor's,High,10,5.8,0
Male,21,Mathematics,87.46,43.88,55.89,71.68,85.7,98.21,11.5,Yes,No,Bachelor's,Medium,8,8.3,0
Male,22,Engineering,59.81,71.79,61.29,77.82,27.9,76.93,21.4,Yes,Yes,PhD,Medium,5,7.1,0
Male,22,Mathematics,73.42,56.4,63.08,56.78,20.4,61.76,7.8,No,Yes,PhD,Low,7,7.9,1
Female,22,CS,93.09,87.76,53.38,68.06,83.2,98.73,27.8,No,Yes,Unknown,High,1,5.6,0
Female,18,CS,75.2,40.48,66.3,83.35,32.599999999999994,62.17,16.9,No,No,Unknown,High,5,5.8,1
Male,22,CS,84.17,90.55,53.61,77.93,41.2,94.12,29.1,No,Yes,High School,Low,10,8.4,0
Female,21,CS,79.4,97.29,85.17,77.45,79.4,58.66,9.8,Yes,No,PhD,Medium,8,7.7,0
Female,19,Mathematics,92.12,82.97,69.3,75.54,63.6,83.74,5.8,No,Yes,Bachelor's,Medium,5,5.9,0
Female,22,Engineering,64.23,84.02,66.34,97.19,44.2,70.56,19.8,No,Yes,Bachelor's,Medium,1,5.1,1
Male,19,Business,78.77,96.01,56.33,96.73,25.0,98.6,13.2,No,Yes,Unknown,Medium,2,4.5,0
Male,24,Business,56.16,52.54,61.33,68.01,76.39999999999999,59.24,19.3,Yes,No,High School,Low,6,8.3,1
Male,21,Business,84.51,99.67,61.64,67.59,18.0,70.44,16.8,No,Yes,High School,High,2,7.5,0
Male,22,Business,86.6,86.41,99.26,77.74,92.8,81.99,16.4,Yes,No,Master's,Medium,9,7.0,0
Male,18,CS,52.14,83.59,91.77,54.78,15.0,98.88,26.3,Yes,No,PhD,Low,9,7.9,0
Female,18,Mathematics,83.79,61.67,50.76,65.15,80.5,65.19,9.8,No,Yes,Bachelor's,Low,2,8.6,1
Female,24,Mathematics,70.73,72.75,80.84,61.54,42.400000000000006,69.84,17.5,Yes,Yes,Bachelor's,High,1,7.8,0
Female,19,Business,56.2,79.24,62.8,61.17,18.6,73.09,15.4,No,Yes,Unknown,Low,7,6.1,1
Female,23,Business,71.0,77.22,55.22,81.93,40.2,62.64,21.8,No,Yes,Unknown,High,7,4.9,0
Male,18,Engineering,59.71,82.3,85.28,69.22,22.200000000000003,90.87,6.3,No,No,PhD,Medium,3,7.6,0
Male,18,Engineering,70.78,44.94,56.58,58.56,13.6,54.6,18.2,Yes,No,Unknown,High,2,5.2,1
